player,player_key,pos,team,adp_avg,market_rank,uncapped_model_rank,model_rank,fair_adp,actionable_adp,value_gap,forecast_points,forecast_ppg,forecast_games,model_value,position_rank,edge_probability,calibration_sample,confidence
jahmyr gibbs,jahmyrgibbs,RB,DET,1.5,1,1,1,1,1,0,235.3,17.1,13.7,100.0,1,0.28943729390490375,63,High
bijan robinson,bijanrobinson,RB,ATL,2.1,2,2,2,2,2,0,226.6,16.5,13.6,91.29999999999998,2,0.28943729390490375,63,High
jonathan taylor,jonathantaylor,RB,IND,5.8,6,3,3,3,5,3,214.4,15.5,13.7,79.1,3,0.28943729390490375,63,High
christian mccaffrey,christianmccaffrey,RB,SF,6.7,7,4,4,4,6,3,211.0,15.3,13.4,75.69999999999999,4,0.28943729390490375,63,High
ja'marr chase,jamarrchase,WR,CIN,4.1,4,5,5,5,4,-1,224.4,15.3,14.3,74.6,1,0.3314659197012138,56,High
puka nacua,pukanacua,WR,LAR,2.9,3,6,6,6,4,-3,218.4,15.0,14.2,68.6,2,0.3314659197012138,56,High
james cook iii,jamescook,RB,BUF,11.2,11,7,7,7,10,4,203.7,14.7,14.0,68.39999999999998,5,0.28943729390490375,63,High
jaxon smith-njigba,jaxonsmithnjigba,WR,SEA,5.3,5,8,8,8,6,-3,216.2,14.7,14.5,66.39999999999998,3,0.3314659197012138,56,High
derrick henry,derrickhenry,RB,BAL,10.1,10,9,9,9,10,1,198.1,14.3,13.5,62.79999999999998,6,0.28943729390490375,63,High
amon-ra st. brown,amonrastbrown,WR,DET,7.6,8,10,10,10,8,-2,211.9,14.6,14.2,62.099999999999994,4,0.3314659197012138,56,High
de'von achane,devonachane,RB,MIA,11.2,12,11,11,11,12,1,195.3,14.2,13.4,60.0,7,0.28943729390490375,63,High
ashton jeanty,ashtonjeanty,RB,LV,15.1,16,12,12,12,15,4,194.9,14.0,14.3,59.599999999999994,8,0.28943729390490375,63,Low
chase brown,chasebrown,RB,CIN,15.7,17,13,13,13,16,4,194.5,14.0,14.0,59.19999999999999,9,0.28943729390490375,63,High
saquon barkley,saquonbarkley,RB,PHI,18.2,18,14,14,14,17,4,193.8,13.9,14.2,58.5,10,0.28943729390490375,63,High
josh allen,joshallen,QB,BUF,26.6,27,15,15,15,24,12,311.7,21.0,14.8,57.0,1,0.4091567661547378,13,High
omarion hampton,omarionhampton,RB,LAC,21.8,21,16,16,16,20,5,189.2,13.6,13.7,53.89999999999998,11,0.28943729390490375,63,Low
kenneth walker,kennethwalker,RB,KC,25.7,26,17,17,17,24,9,185.1,13.3,14.3,49.79999999999998,12,0.28943729390490375,63,High
ceedee lamb,ceedeelamb,WR,DAL,12.6,13,18,18,18,14,-5,198.0,13.9,14.0,48.19999999999999,5,0.3314659197012138,56,High
justin jefferson,justinjefferson,WR,MIN,14.9,15,19,19,19,16,-4,196.4,13.6,14.1,46.599999999999994,6,0.3314659197012138,56,High
drake london,drakelondon,WR,ATL,10.0,9,22,20,20,12,-11,194.3,13.5,14.0,44.5,7,0.3314659197012138,56,High
josh jacobs,joshjacobs,RB,GB,24.0,24,24,21,21,23,3,176.2,12.8,13.4,40.89999999999998,13,0.28943729390490375,63,High
